,MAE,RMSE,R2
spain,10.655848503112793,14.899722287451,87.66789436340332
greece,18.01709747314453,26.801141925225757,76.23052597045898
netherlands,12.920555114746094,20.43016849338176,79.32850122451782
poland,16.840314865112305,26.437331467400174,74.05194044113159
sweden,9.520506858825684,15.04060006344676,83.44825506210327
germany,11.079045295715332,17.57676209994232,86.91194653511047
