,horizon,MAE,RMSE,R2
0,1,8.945367500731974,15.298173929446161,0.8840526470661498
1,2,13.84558148425365,22.280189009886076,0.7539676994989817
2,3,16.947384819460346,26.129376341193698,0.6615737214147859
3,4,19.122574037794536,28.95910741008881,0.584270061917639
4,5,20.347402193183722,30.122357952305215,0.5501903107430153
5,6,21.382680332108098,31.09361969427711,0.5207046151767929
6,7,22.49280308267248,32.27553181686831,0.48352831415143593
7,8,22.613971511111433,32.52985464484972,0.4750726154940944
8,9,23.26105406401035,33.236087427814006,0.4517330965796227
9,10,23.626358370609573,33.28357738395113,0.4498249455580676
10,11,23.53876880918394,32.774425581962646,0.4661933215848896
11,12,23.314586033464003,32.55920027381686,0.4728486751184947
12,13,23.88377132118056,33.28479567324438,0.4487638976809142
13,14,24.290929949435704,34.01188104312469,0.4243624107749885
14,15,24.374051819191656,34.379511182134884,0.4118400111368701
15,16,24.19598460347617,34.37356106523647,0.4120295491429645
16,17,23.85419328548306,34.049332191247316,0.42303848983325487
17,18,23.805838893342116,33.91687311424708,0.42736129326697925
18,19,23.508434209770513,33.89691556399372,0.4279962151471559
19,20,23.004933407372647,33.302240486551995,0.44787086362909057
20,21,22.27833692604669,32.43403623981583,0.4762842638672167
21,22,21.37527182651783,30.92102852972058,0.5240004825545848
22,23,20.960974969460754,29.819983648759706,0.5572826983299553
23,24,21.267306806211543,29.97558623495326,0.5526450966070058
