,horizon,MAE,RMSE,R2
0,1,13.100569669151286,21.32719452266106,0.8494850553011333
1,2,19.69749271622085,30.472750955700004,0.6927232038427202
2,3,24.03233512675596,35.8362742626799,0.5750466398782161
3,4,26.311375701887567,38.69247480946628,0.5046158024673321
4,5,28.060908822826434,40.50754892540318,0.45706078719968124
5,6,30.091907458997238,42.61274274447009,0.3991251911385242
6,7,31.72216958035932,44.683564388777135,0.33915069738843817
7,8,31.812339084868082,44.89653607976913,0.3324787847419651
8,9,30.15990827157515,41.49353864273358,0.42952233814192653
9,10,28.917426004149085,38.709049981662865,0.5032373022900873
10,11,29.18271834254105,38.484975228661156,0.5087045895912818
11,12,28.8907244606926,38.39999058445345,0.5106366321522315
12,13,29.197137955556386,40.10519736806093,0.46600945019450424
13,14,30.129078902716934,41.95176675087226,0.41565764986857956
14,15,30.935295004242125,43.571661858642166,0.36969030757612387
15,16,30.967249136530768,44.42482305058724,0.34500128137784214
16,17,30.343349539782842,43.6290913599249,0.36825831581956214
17,18,29.49441422178968,42.40964157321618,0.4025884509461568
18,19,29.020127264501216,41.223307089953366,0.43546853771003435
19,20,27.801429626278523,39.29520252834848,0.4870356446362204
20,21,25.75783785216372,36.63984962346227,0.5540257179000317
21,22,22.956528309829558,32.804339958080135,0.6425115261471837
22,23,20.601677817053147,29.44745167008439,0.7119258922769918
23,24,20.67156659753891,29.651981549167967,0.7079009600798771
