,horizon,MAE,RMSE,R2
0,1,6.295833474920937,10.560063938809968,0.9184035552540242
1,2,10.083108322803287,15.966602866552083,0.8134462900263446
2,3,12.745109931484384,19.193777169753744,0.7303898704228452
3,4,14.730763418600327,21.541345359521024,0.6604024495846674
4,5,15.965302338006618,23.12097246994597,0.6088015910686909
5,6,16.85572561850331,24.182880839408707,0.5720829128810481
6,7,17.320809244901195,24.749724725852033,0.5518373279375824
7,8,18.164964457016517,25.418418724243764,0.5273433047550201
8,9,18.488781565028308,25.514884678217385,0.5237993041159437
9,10,18.658210759985742,25.418632154112547,0.5274124350965567
10,11,18.91667192352361,25.691470780080014,0.5172152165621944
11,12,19.412022682726782,26.163102116248222,0.49932930832922295
12,13,20.176171723064932,27.244997677526957,0.45708950034807716
13,14,20.84191022647348,28.44611826272199,0.4082871158702863
14,15,21.220627747924276,28.93556842927905,0.3879314676367366
15,16,21.546977474725832,29.345987360945045,0.37072480661586016
16,17,21.609691762979175,29.551110652153586,0.3622300581272996
17,18,21.56276896132019,29.54491618283228,0.36274776618603155
18,19,21.348609231451977,29.535634584463352,0.3633086758274222
19,20,20.96958695395476,29.23066320993484,0.3765013549508316
20,21,20.016375402378486,28.126910690410664,0.42276252955009186
21,22,19.306846856978257,27.149520702989236,0.46220484954703533
22,23,18.997279834928715,26.453887485551586,0.4893997943827766
23,24,19.11187931529961,26.531608740802117,0.48637923342460054
