,horizon,MAE,RMSE,R2
0,1,11.868394298039176,20.976832261613048,0.836643182350514
1,2,17.796517001256884,29.18340985545469,0.6838345672683455
2,3,21.281880643716438,33.72415588281612,0.5778038422419294
3,4,23.101320369995886,35.47815543090021,0.5326911246478676
4,5,24.52195019014147,37.21496759346883,0.4858419930518224
5,6,25.52721968200325,38.45091910550428,0.4511312711101876
6,7,26.313140508510532,39.47434760119355,0.4214145268519862
7,8,26.531432151043308,39.96172072009376,0.4066247729471566
8,9,26.935592156936917,40.180486250925036,0.3996768922676568
9,10,26.810187144599436,39.89005671242019,0.4078723806921979
10,11,26.636475106696736,39.83888373005031,0.408946687627188
11,12,26.93036924153253,40.23422925830444,0.3967210482328466
12,13,27.484633539470014,41.11846846158079,0.36989262645381393
13,14,27.692414996920704,41.424646543943794,0.36045493689004393
14,15,27.270639365212087,40.81090794996079,0.37929367669589487
15,16,27.115129560858175,40.55924530000325,0.38697804306484207
16,17,26.975656811818634,40.307317059711195,0.3944580108251259
17,18,26.986367290703207,39.98147816610967,0.40293011871707807
18,19,26.667488317360185,39.4042184011603,0.4197910030817412
19,20,26.26971011883578,38.89136506691925,0.43475939665065955
20,21,25.48306875080594,38.30264011723815,0.4517381014601617
21,22,24.308631316003414,36.69037561813332,0.49692273569220025
22,23,22.812706416771714,34.48796714366535,0.5555055424146054
23,24,22.519107265740896,33.97849689361895,0.5685387451119648
