Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-07-02 04:00:00,2022-07-02 06:00:00,239.42
Germany,DEU,2022-07-02 05:00:00,2022-07-02 07:00:00,246.78
Germany,DEU,2022-07-02 06:00:00,2022-07-02 08:00:00,232.52
Germany,DEU,2022-07-02 07:00:00,2022-07-02 09:00:00,174.54
Germany,DEU,2022-07-02 08:00:00,2022-07-02 10:00:00,126.3
Germany,DEU,2022-07-02 09:00:00,2022-07-02 11:00:00,119.84
Germany,DEU,2022-07-02 10:00:00,2022-07-02 12:00:00,85.45
Germany,DEU,2022-07-02 11:00:00,2022-07-02 13:00:00,70.44
Germany,DEU,2022-07-02 12:00:00,2022-07-02 14:00:00,81.62
Germany,DEU,2022-07-02 13:00:00,2022-07-02 15:00:00,89.05
Germany,DEU,2022-07-02 14:00:00,2022-07-02 16:00:00,134.25
Germany,DEU,2022-07-02 15:00:00,2022-07-02 17:00:00,241.72
Germany,DEU,2022-07-02 16:00:00,2022-07-02 18:00:00,306.76
Germany,DEU,2022-07-02 17:00:00,2022-07-02 19:00:00,362.19
Germany,DEU,2022-07-02 18:00:00,2022-07-02 20:00:00,371.79
Germany,DEU,2022-07-02 19:00:00,2022-07-02 21:00:00,363.48
Germany,DEU,2022-07-02 20:00:00,2022-07-02 22:00:00,361.0
Germany,DEU,2022-07-02 21:00:00,2022-07-02 23:00:00,311.48
Germany,DEU,2022-07-02 22:00:00,2022-07-03 00:00:00,271.0
Germany,DEU,2022-07-02 23:00:00,2022-07-03 01:00:00,246.84
Germany,DEU,2022-07-03 00:00:00,2022-07-03 02:00:00,220.91
Germany,DEU,2022-07-03 01:00:00,2022-07-03 03:00:00,214.57
Germany,DEU,2022-07-03 02:00:00,2022-07-03 04:00:00,206.67
Germany,DEU,2022-07-03 03:00:00,2022-07-03 05:00:00,200.36
Germany,DEU,2022-07-03 04:00:00,2022-07-03 06:00:00,180.66
Germany,DEU,2022-07-03 05:00:00,2022-07-03 07:00:00,183.85
Germany,DEU,2022-07-03 06:00:00,2022-07-03 08:00:00,177.28
Germany,DEU,2022-07-03 07:00:00,2022-07-03 09:00:00,156.83
Germany,DEU,2022-07-03 08:00:00,2022-07-03 10:00:00,139.72
Germany,DEU,2022-07-03 09:00:00,2022-07-03 11:00:00,107.68
Germany,DEU,2022-07-03 10:00:00,2022-07-03 12:00:00,92.82
Germany,DEU,2022-07-03 11:00:00,2022-07-03 13:00:00,75.34
Germany,DEU,2022-07-03 12:00:00,2022-07-03 14:00:00,74.27
Germany,DEU,2022-07-03 13:00:00,2022-07-03 15:00:00,65.57
Germany,DEU,2022-07-03 14:00:00,2022-07-03 16:00:00,101.02
Germany,DEU,2022-07-03 15:00:00,2022-07-03 17:00:00,181.18
Germany,DEU,2022-07-03 16:00:00,2022-07-03 18:00:00,276.71
Germany,DEU,2022-07-03 17:00:00,2022-07-03 19:00:00,341.8
Germany,DEU,2022-07-03 18:00:00,2022-07-03 20:00:00,351.87
Germany,DEU,2022-07-03 19:00:00,2022-07-03 21:00:00,356.77
Germany,DEU,2022-07-03 20:00:00,2022-07-03 22:00:00,357.2
Germany,DEU,2022-07-03 21:00:00,2022-07-03 23:00:00,333.97
Germany,DEU,2022-07-03 22:00:00,2022-07-04 00:00:00,305.79
Germany,DEU,2022-07-03 23:00:00,2022-07-04 01:00:00,275.19
Germany,DEU,2022-07-04 00:00:00,2022-07-04 02:00:00,262.36
