valid_time,latitude,longitude,u10,v10,t2m,tcc,tp,ssrd
2022-07-01 01:00:00,51.0,10.0,2.6699982,-0.49067688,18.401154,1.0,0.00017356873,0.0
2022-07-01 02:00:00,51.0,10.0,5.8435516,0.32269287,16.314117,1.0,0.00024175644,0.0
2022-07-01 03:00:00,51.0,10.0,4.419983,-1.0930023,14.973541,1.0,0.0,0.0
2022-07-01 04:00:00,51.0,10.0,1.841629,-2.4878693,14.19632,1.0,0.0,22464.0
2022-07-01 05:00:00,51.0,10.0,1.882843,-1.1512146,13.689545,0.99850464,0.00062417984,57600.0
2022-07-01 06:00:00,51.0,10.0,2.9690552,0.041870117,13.147736,1.0,0.0013623238,8576.0
2022-07-01 07:00:00,51.0,10.0,2.7240753,0.40803528,13.4201355,1.0,0.0,262528.0
2022-07-01 08:00:00,51.0,10.0,2.9257965,0.21354675,14.12912,0.9987488,0.0,240384.0
2022-07-01 09:00:00,51.0,10.0,3.0974731,-0.022323608,14.870148,0.948761,0.00040769577,0.0
2022-07-01 10:00:00,51.0,10.0,2.6405792,1.1549072,13.135834,1.0,0.0009326935,0.0
2022-07-01 11:00:00,51.0,10.0,3.1822815,0.44673157,13.189117,0.8244934,0.0,26752.0
2022-07-01 12:00:00,51.0,10.0,3.644867,-0.1637268,14.178497,1.0,0.0,474432.0
2022-07-01 13:00:00,51.0,10.0,3.8286438,-0.023651123,14.68277,0.9607239,0.0,195776.0
2022-07-01 14:00:00,51.0,10.0,3.493332,0.47190857,16.09256,1.0,0.0,885120.0
2022-07-01 15:00:00,51.0,10.0,3.4812012,0.6984558,16.717438,0.61224365,0.0,0.0
2022-07-01 16:00:00,51.0,10.0,3.870285,0.56533813,17.483429,0.8244934,0.0,0.0
2022-07-01 17:00:00,51.0,10.0,3.8578186,0.8789215,17.786163,0.9215088,0.0,0.0
2022-07-01 18:00:00,51.0,10.0,2.8647614,1.092865,17.793121,0.7950134,0.0,0.0
2022-07-01 19:00:00,51.0,10.0,1.9412384,1.0974731,16.959259,0.2647705,0.0,0.0
2022-07-01 20:00:00,51.0,10.0,1.3862152,1.0088196,15.313629,0.020721436,3.6239624e-05,0.0
2022-07-01 21:00:00,51.0,10.0,1.1199493,0.9367523,13.48172,0.0262146,3.8146973e-05,0.0
2022-07-01 22:00:00,51.0,10.0,0.24172974,1.2322693,13.179352,0.2807312,0.0,0.0
2022-07-01 23:00:00,51.0,10.0,0.29084778,1.3272552,12.865997,0.17050171,0.0,0.0
2022-07-02 00:00:00,51.0,10.0,0.3156891,1.4680176,11.312042,0.17926025,0.0,0.0
2022-07-02 01:00:00,51.0,10.0,1.0400696,1.6453094,10.966522,0.22702026,0.0,0.0
2022-07-02 02:00:00,51.0,10.0,1.3482056,1.6779633,10.434845,0.21600342,0.0,0.0
2022-07-02 03:00:00,51.0,10.0,1.0980225,1.5479584,10.606842,0.16601562,0.0,0.0
2022-07-02 04:00:00,51.0,10.0,0.40756226,1.5903931,10.012421,0.019500732,0.0,53568.0
2022-07-02 05:00:00,51.0,10.0,-0.08201599,1.7919769,12.587799,0.0,0.0,325056.0
2022-07-02 06:00:00,51.0,10.0,-0.09831238,1.8756714,14.749054,0.0,0.0,500800.0
2022-07-02 07:00:00,51.0,10.0,0.15080261,2.1280518,17.056427,0.0,0.0,569280.0
2022-07-02 08:00:00,51.0,10.0,0.28356934,2.032364,18.999481,0.0,0.0,563072.0
