,MAE,RMSE,R2
spain,1046.7396240234375,1962.7883227694217,92.09312200546265
greece,311.6634216308594,598.4088015311941,88.54851722717285
netherlands,23.60598945617676,51.58817779191881,64.06850814819336
poland,487.63873291015625,981.2334075030262,88.92322778701782
sweden,39.50954055786133,90.98542014898597,86.89735531806946
germany,1619.7900390625,3409.1039878537,91.81070327758788
