time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230102:0330,0.0,0.0,0.0,0.0,0.0,11.52,4.55,0.0
20230102:0430,0.0,0.0,0.0,0.0,0.0,11.37,4.34,0.0
20230102:0530,0.0,0.0,0.0,0.0,0.0,10.94,4.21,0.0
20230102:0630,0.0,0.0,0.0,0.0,0.0,10.73,4.28,0.0
20230102:0730,0.03,0.0,5.66,0.09,0.14,11.55,4.34,0.0
20230102:0830,20.92,0.0,37.94,0.57,6.83,11.29,4.34,0.0
20230102:0930,41.5,0.0,63.62,0.96,11.92,11.73,4.9,0.0
20230102:1030,55.9,0.0,80.74,1.21,15.03,11.81,5.38,0.0
20230102:1130,51.51,0.0,75.43,1.13,15.89,11.37,5.38,0.0
20230102:1230,50.86,0.0,74.63,1.12,14.42,11.23,5.31,0.0
20230102:1330,38.25,0.0,59.61,0.9,10.75,11.39,5.17,0.0
20230102:1430,10.7,0.0,24.03,0.36,5.2,11.12,4.9,0.0
20230102:1530,0.0,0.0,0.0,0.0,-1.84,10.52,4.62,0.0
20230102:1630,0.0,0.0,0.0,0.0,0.0,9.93,4.21,0.0
20230102:1730,0.0,0.0,0.0,0.0,0.0,9.56,3.93,0.0
20230102:1830,0.0,0.0,0.0,0.0,0.0,9.15,3.66,0.0
20230102:1930,0.0,0.0,0.0,0.0,0.0,8.95,3.79,0.0
20230102:2030,0.0,0.0,0.0,0.0,0.0,8.61,3.86,0.0
20230102:2130,0.0,0.0,0.0,0.0,0.0,8.18,4.0,0.0
20230102:2230,0.0,0.0,0.0,0.0,0.0,7.49,3.79,0.0
20230102:2330,0.0,0.0,0.0,0.0,0.0,6.79,3.66,0.0
20230103:0030,0.0,0.0,0.0,0.0,0.0,6.49,3.59,0.0
20230103:0130,0.0,0.0,0.0,0.0,0.0,6.37,3.52,0.0
20230103:0230,0.0,0.0,0.0,0.0,0.0,6.27,3.31,0.0
20230103:0330,0.0,0.0,0.0,0.0,0.0,6.08,3.24,0.0
20230103:0430,0.0,0.0,0.0,0.0,0.0,5.96,3.31,0.0
20230103:0530,0.0,0.0,0.0,0.0,0.0,5.75,3.24,0.0
20230103:0630,0.0,0.0,0.0,0.0,0.0,5.61,3.24,0.0
20230103:0730,0.0,0.0,4.1,0.06,0.17,5.6,2.97,0.0
20230103:0830,17.05,0.0,32.14,0.48,6.87,5.46,2.9,0.0
20230103:0930,38.33,0.0,58.45,0.88,11.98,5.68,3.1,0.0
20230103:1030,48.7,0.0,70.66,1.06,15.11,5.93,3.38,0.0
20230103:1130,61.97,0.0,86.0,1.29,15.99,6.33,4.07,0.0
20230103:1230,63.66,0.0,88.19,1.33,14.53,7.05,3.93,0.0
20230103:1330,44.23,0.0,65.8,0.99,10.87,7.36,3.59,0.0
20230103:1430,14.64,0.0,29.16,0.44,5.33,7.43,3.1,0.0
20230103:1530,0.0,0.0,0.0,0.0,-1.71,7.03,2.83,0.0
20230103:1630,0.0,0.0,0.0,0.0,0.0,6.53,2.97,0.0
20230103:1730,0.0,0.0,0.0,0.0,0.0,6.48,3.17,0.0
20230103:1830,0.0,0.0,0.0,0.0,0.0,6.49,3.24,0.0
20230103:1930,0.0,0.0,0.0,0.0,0.0,5.84,3.17,0.0
