horizon,R2
1,0.981
2,0.971
3,0.961
4,0.958
5,0.9470000000000001
6,0.9440000000000001
7,0.946
8,0.937
9,0.941
10,0.9440000000000001
11,0.9159999999999999
12,0.927
13,0.94
14,0.927
15,0.935
16,0.922
17,0.9279999999999999
18,0.934
19,0.938
20,0.937
21,0.9420000000000001
22,0.938
23,0.937
24,0.9390000000000001
