horizon,R2
1,0.85
2,0.784
3,0.7390000000000001
4,0.706
5,0.691
6,0.696
7,0.6829999999999999
8,0.636
9,0.7090000000000001
10,0.6779999999999999
11,0.7
12,0.6920000000000001
13,0.68
14,0.6709999999999999
15,0.645
16,0.669
17,0.6509999999999999
18,0.64
19,0.68
20,0.6659999999999999
21,0.675
22,0.654
23,0.669
24,0.6559999999999999
