horizon,R2
1,0.9890000000000001
2,0.9740000000000001
3,0.965
4,0.9570000000000001
5,0.941
6,0.9420000000000001
7,0.9329999999999999
8,0.937
9,0.929
10,0.935
11,0.9279999999999999
12,0.9259999999999999
13,0.925
14,0.9259999999999999
15,0.93
16,0.9259999999999999
17,0.9229999999999999
18,0.9279999999999999
19,0.934
20,0.9259999999999999
21,0.9209999999999999
22,0.915
23,0.919
24,0.917
