horizon,R2
1,0.977
2,0.9590000000000001
3,0.943
4,0.927
5,0.912
6,0.9059999999999999
7,0.904
8,0.902
9,0.905
10,0.895
11,0.898
12,0.889
13,0.898
14,0.8809999999999999
15,0.895
16,0.887
17,0.877
18,0.8909999999999999
19,0.884
20,0.883
21,0.8909999999999999
22,0.883
23,0.887
24,0.888
