,MAE,RMSE,R2
spain,515.3492256289993,908.9564831343147,98.67195161631243
greece,114.21670717687053,210.18549259608338,98.74359879129295
netherlands,10.754095836541044,24.578484236717493,92.07828845087138
poland,198.56424589772635,364.05034281597426,98.66157154063592
sweden,15.538867593009414,31.35953457843308,98.79487067244249
germany,625.7193170828498,1184.0027231184567,99.09982458771981
