,MAE,RMSE,R2
spain,576.91845703125,983.2339497800104,98.44603538513184
greece,140.57493591308594,269.2535253947476,97.93820381164551
netherlands,16.08679962158203,34.53273292913099,84.36237573623657
poland,263.46051025390625,468.61089602675696,97.78233170509338
sweden,15.371702194213867,28.79745255965849,98.98374676704407
germany,685.2428588867188,1226.5530461419107,99.03396368026733
