,MAE,RMSE,R2
spain,1078.8594914930225,2028.57681097729,93.38529275623698
greece,262.31447142037854,584.524367815787,90.28309149332571
netherlands,26.817377700248517,60.02278714033923,52.756599730864195
poland,577.4317416363983,1159.5521333847955,86.42146761579068
sweden,47.754231839036514,110.11104111785797,85.14214292363992
germany,1795.670036191232,3753.1885753728347,90.95470958593422
