Datetime (UTC),temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation
2023-07-04 23:00:00,15.4,6.9,96,92,0.0,0.0
2023-07-05 00:00:00,14.6,6.0,107,100,0.0,0.0
2023-07-05 01:00:00,14.6,6.9,129,100,0.0,0.0
2023-07-05 02:00:00,14.6,5.8,187,100,0.0,0.0
2023-07-05 03:00:00,14.0,6.9,174,100,0.0,0.6
2023-07-05 04:00:00,13.6,10.9,146,100,4.0,0.6
2023-07-05 05:00:00,13.8,8.7,150,100,19.0,0.0
2023-07-05 06:00:00,15.4,10.1,174,97,34.0,0.2
2023-07-05 07:00:00,16.4,16.1,209,92,64.0,0.0
2023-07-05 08:00:00,17.5,20.2,229,100,302.0,0.0
2023-07-05 09:00:00,17.7,24.1,235,88,559.0,0.0
2023-07-05 10:00:00,17.6,27.2,235,46,669.0,0.0
2023-07-05 11:00:00,17.5,27.0,243,66,586.0,0.0
2023-07-05 12:00:00,18.8,23.7,244,86,660.0,0.0
2023-07-05 13:00:00,19.8,22.7,245,0,773.0,0.0
2023-07-05 14:00:00,19.4,21.0,257,42,672.0,0.0
2023-07-05 15:00:00,19.5,22.3,252,41,545.0,0.0
2023-07-05 16:00:00,19.2,20.2,251,41,445.0,0.0
2023-07-05 17:00:00,18.4,17.2,254,78,315.0,0.0
2023-07-05 18:00:00,17.7,14.0,269,51,155.0,0.0
2023-07-05 19:00:00,16.7,14.7,253,100,57.0,0.0
2023-07-05 20:00:00,14.9,10.2,252,67,3.0,0.0
2023-07-05 21:00:00,14.5,11.0,259,98,0.0,0.0
2023-07-05 22:00:00,13.3,8.7,253,45,0.0,0.0
2023-07-05 23:00:00,13.0,9.2,244,32,0.0,0.0
2023-07-06 00:00:00,12.4,6.6,248,0,0.0,0.0
2023-07-06 01:00:00,11.7,5.4,233,0,0.0,0.0
2023-07-06 02:00:00,11.7,7.4,247,30,0.0,0.0
2023-07-06 03:00:00,10.6,4.5,256,0,0.0,0.0
2023-07-06 04:00:00,10.2,4.3,270,0,13.0,0.0
2023-07-06 05:00:00,12.1,4.1,225,0,104.0,0.0
2023-07-06 06:00:00,14.3,5.5,212,0,247.0,0.0
2023-07-06 07:00:00,16.0,7.7,242,33,388.0,0.0
2023-07-06 08:00:00,17.3,9.6,250,54,538.0,0.0
2023-07-06 09:00:00,18.7,9.7,248,28,639.0,0.0
2023-07-06 10:00:00,19.8,11.5,256,13,786.0,0.0
2023-07-06 11:00:00,20.8,11.8,258,0,871.0,0.0
2023-07-06 12:00:00,21.4,10.7,256,0,894.0,0.0
2023-07-06 13:00:00,22.3,10.8,268,100,865.0,0.0
2023-07-06 14:00:00,22.4,14.0,282,100,746.0,0.0
2023-07-06 15:00:00,22.3,9.1,279,5,573.0,0.0
2023-07-06 16:00:00,22.2,7.2,270,78,462.0,0.0
2023-07-06 17:00:00,21.4,5.8,300,0,349.0,0.0
2023-07-06 18:00:00,20.8,5.4,290,0,224.0,0.0
2023-07-06 19:00:00,18.8,3.3,347,100,83.0,0.0
2023-07-06 20:00:00,16.4,5.1,352,0,7.0,0.0
2023-07-06 21:00:00,14.8,5.5,11,100,0.0,0.0
2023-07-06 22:00:00,13.9,5.1,45,0,0.0,0.0
2023-07-06 23:00:00,13.8,4.8,63,93,0.0,0.0
2023-07-07 00:00:00,12.5,6.1,45,85,0.0,0.0
2023-07-07 01:00:00,12.1,5.5,58,0,0.0,0.0
2023-07-07 02:00:00,11.6,4.3,66,0,0.0,0.0
2023-07-07 03:00:00,10.6,3.4,58,0,0.0,0.0
2023-07-07 04:00:00,10.4,2.9,60,0,13.0,0.0
2023-07-07 05:00:00,12.2,1.5,76,0,95.0,0.0
2023-07-07 06:00:00,15.0,3.0,104,0,240.0,0.0
2023-07-07 07:00:00,17.3,4.5,119,0,403.0,0.0
2023-07-07 08:00:00,19.9,4.8,103,0,562.0,0.0
2023-07-07 09:00:00,22.7,6.8,93,0,703.0,0.0
2023-07-07 10:00:00,24.6,7.4,119,0,813.0,0.0
2023-07-07 11:00:00,26.1,7.6,135,25,872.0,0.0
2023-07-07 12:00:00,26.0,3.6,53,3,887.0,0.0
2023-07-07 13:00:00,27.3,12.2,109,33,854.0,0.0
2023-07-07 14:00:00,27.7,10.9,171,47,720.0,0.0
2023-07-07 15:00:00,27.9,6.1,208,0,667.0,0.0
