,horizon,MAE,RMSE,R2
0,1,329.1341276455566,587.2687058357557,0.9651706001021871
1,2,450.6930256437099,763.5474699662899,0.9411242927505445
2,3,557.1121567155033,930.4302057081105,0.9125815373916557
3,4,626.1720606911844,1048.6383588446465,0.8889689543663107
4,5,683.4550895121026,1136.372299078871,0.8696073930182784
5,6,707.6700896576252,1170.5500874542793,0.8615831542062331
6,7,737.9753869604618,1206.626908016727,0.852762614775107
7,8,745.682186134299,1222.738112670239,0.8485722577447502
8,9,747.3560331205232,1252.9063769143656,0.8407774534381826
9,10,761.3649162059319,1283.4999305434962,0.8327201019100456
10,11,760.9356149135635,1289.0623085262418,0.8310663017085603
11,12,766.6763878305928,1302.8426208217682,0.8272757402789139
12,13,763.9835904379971,1305.6332075985406,0.8263964101249508
13,14,752.1080990566852,1286.3076420898958,0.8314185459724592
14,15,744.791711666102,1277.8612844129884,0.8336060232425703
15,16,735.7607119141046,1256.8500181223012,0.8390460769346092
16,17,718.6126225556463,1230.2412985727472,0.8458024347611373
17,18,711.3017854075104,1210.3088833197378,0.8507640209798839
18,19,705.1036901621995,1190.3502637001532,0.8556453951689936
19,20,673.0532225339177,1126.0143096479412,0.8708278415832412
20,21,608.8291970986825,1053.592997477648,0.8869093114670112
21,22,553.2995311029836,1005.618371344027,0.8969738443574091
22,23,516.5747488385836,984.9319956408243,0.9011689091826185
23,24,526.4981101257819,1000.6503034224803,0.8979892924173498
