,horizon,MAE,RMSE,R2
0,1,16.595831225049835,35.09787199739582,0.8384635987011421
1,2,21.255222217832973,41.97873772864433,0.7689172203409991
2,3,24.858011749321633,46.66218384001659,0.7144798350843429
3,4,26.316200184406085,48.787979961527974,0.6878848978925742
4,5,27.25898146763512,49.78362796039848,0.6750393564230148
5,6,27.14983633582634,49.899246081359266,0.673553511779273
6,7,27.21271621170853,49.999836055209705,0.6722589174596387
7,8,27.663644965634962,50.51386637524894,0.6655005690411926
8,9,27.866234437878283,50.55118204741255,0.6649890830591285
9,10,28.313513417697717,51.10370322652873,0.6575803431048399
10,11,28.674380922051565,51.685504338863694,0.6493125458629871
11,12,28.854970927964374,52.152247589742046,0.6425758477963949
12,13,28.993219893830975,52.403406903980354,0.6389060414068705
13,14,28.33149910761249,52.09852885334981,0.6430832725776354
14,15,27.983921592278655,52.22920651200194,0.6413076104562425
15,16,28.173147150906836,52.12554919681133,0.6427509338536813
16,17,27.682011666741733,52.1155113052083,0.6428995668779285
17,18,27.665619631451747,51.9641727169529,0.6449742974006638
18,19,27.293466391383614,51.3988024947539,0.6526579715676837
19,20,26.42177548576238,50.09064020055915,0.6701135333046493
20,21,25.262572594519643,49.12562760723158,0.6827018367087536
21,22,24.090523758040398,48.82834090012843,0.6865305148681728
22,23,23.607101280133605,48.765581204006736,0.687335809749267
23,24,24.125137242014443,49.761910947316295,0.6744292095081035
