,horizon,MAE,RMSE,R2
0,1,26.26326520145008,49.67993770627717,0.9697547995924571
1,2,36.91953905610152,68.13881906553678,0.9431039163133951
2,3,47.2440635644842,85.65354603286427,0.9100971017844747
3,4,56.72739340015636,100.53197875962479,0.8761590130471381
4,5,64.4061534862246,113.53315964108168,0.8420654374893266
5,6,69.66291437425437,121.45893822688208,0.819234015257822
6,7,78.77340383459618,135.62384370373562,0.7745547939943596
7,8,83.43929681789824,140.59924942204978,0.7576061641199493
8,9,84.69175541928813,139.2041341965476,0.7622840480509346
9,10,82.6816077084045,136.75973442652298,0.7704625460905549
10,11,84.27494910604698,139.05216161198263,0.7626225752624295
11,12,80.71455656882611,134.9887544179306,0.7762455071227006
12,13,79.65355558652335,133.82617284474523,0.7800658054921304
13,14,79.57682008405605,134.84428736781223,0.7767131827218494
14,15,81.0233327610255,139.6875111904171,0.7604018655602768
15,16,78.22171841638678,136.87029438934027,0.769982604791756
16,17,73.2844578345094,130.79241297573716,0.7899649867058662
17,18,69.98993636867404,123.89437373442962,0.8115379668396996
18,19,65.6315272652816,117.94701483240895,0.8291976314773086
19,20,61.72501477630135,111.2784409143037,0.8479655565526948
20,21,55.115385248716805,104.87196650222977,0.8649673747933588
21,22,50.9482903252075,101.86861457281518,0.8725908343338887
22,23,46.34438822598845,99.33173106275568,0.878857686772962
23,24,47.23491672747849,101.86197025065827,0.8726074641826992
