time,P,G(i),H_sun,T2m,WS10m,Int
20220419:0910,573.14,690.01,42.36,10.88,2.62,0.0
20220419:1010,632.31,764.01,47.8,11.57,3.03,0.0
20220419:1110,680.71,826.01,50.15,12.05,3.24,0.0
20220419:1210,674.79,818.01,48.81,12.31,3.38,0.0
20220419:1310,618.24,746.01,44.14,12.43,3.45,0.0
20220419:1410,523.08,629.01,37.09,12.37,3.59,0.0
20220419:1510,392.04,477.0,28.61,12.01,3.79,0.0
20220419:1610,231.74,302.0,19.41,11.45,3.79,0.0
20220419:1710,75.94,127.0,9.99,10.75,3.17,0.0
20220419:1810,0.0,0.0,0.0,9.57,2.62,0.0
20220419:1910,0.0,0.0,0.0,8.52,2.41,0.0
20220419:2010,0.0,0.0,0.0,7.32,2.0,0.0
20220419:2110,0.0,0.0,0.0,5.91,1.59,0.0
20220419:2210,0.0,0.0,0.0,4.71,1.38,0.0
20220419:2310,0.0,0.0,0.0,3.87,1.38,0.0
20220420:0010,0.0,0.0,0.0,3.43,1.24,0.0
20220420:0110,0.0,0.0,0.0,3.14,1.1,0.0
20220420:0210,0.0,0.0,0.0,2.32,1.17,0.0
20220420:0310,0.0,0.0,0.0,1.4,1.31,0.0
20220420:0410,0.0,0.0,0.0,0.98,1.24,0.0
20220420:0510,49.5,91.0,7.66,1.26,1.1,0.0
20220420:0610,190.68,251.0,17.07,3.61,0.62,0.0
20220420:0710,335.17,409.0,26.38,7.0,0.97,0.0
20220420:0810,446.57,535.01,35.13,8.58,1.79,0.0
20220420:0910,582.49,701.01,42.69,9.68,2.14,0.0
20220420:1010,649.88,787.01,48.15,10.75,2.55,0.0
20220420:1110,678.15,821.01,50.49,11.65,3.24,0.0
20220420:1210,599.84,722.01,49.14,11.91,3.59,0.0
20220420:1310,430.8,517.0,44.43,11.61,3.72,0.0
20220420:1410,406.05,486.0,37.35,11.04,3.66,0.0
20220420:1510,318.75,386.0,28.85,10.61,3.66,0.0
20220420:1610,165.07,212.0,19.64,10.19,3.38,0.0
20220420:1710,41.79,66.0,10.22,9.72,2.83,0.0
20220420:1810,0.0,0.0,0.0,9.0,2.28,0.0
20220420:1910,0.0,0.0,0.0,7.69,2.28,0.0
20220420:2010,0.0,0.0,0.0,6.88,1.24,0.0
20220420:2110,0.0,0.0,0.0,6.62,0.48,0.0
20220420:2210,0.0,0.0,0.0,6.5,0.28,0.0
20220420:2310,0.0,0.0,0.0,4.97,0.97,0.0
20220421:0010,0.0,0.0,0.0,4.76,1.17,0.0
20220421:0110,0.0,0.0,0.0,5.22,1.52,0.0
20220421:0210,0.0,0.0,0.0,5.38,1.86,0.0
20220421:0310,0.0,0.0,0.0,5.15,1.93,0.0
20220421:0410,0.0,0.0,0.0,5.04,1.79,0.0
20220421:0510,42.1,71.0,7.96,4.72,1.66,0.0
20220421:0610,51.45,75.0,17.37,5.43,1.59,0.0
20220421:0710,182.61,225.0,26.68,6.39,1.93,0.0
20220421:0810,223.2,271.0,35.45,7.0,2.14,0.0
20220421:0910,150.07,188.0,43.02,6.82,2.34,0.0
20220421:1010,136.87,173.0,48.49,6.78,2.48,0.0
20220421:1110,196.02,240.0,50.84,7.08,2.76,0.0
20220421:1210,153.32,192.0,49.46,7.63,3.1,0.0
20220421:1310,293.58,352.0,44.72,8.46,3.45,0.0
20220421:1410,154.52,194.0,37.61,8.79,3.86,0.0
20220421:1510,98.2,130.0,29.09,8.63,3.79,0.0
20220421:1610,40.83,63.0,19.87,8.25,3.52,0.0
20220421:1710,10.6,24.0,10.44,7.79,2.9,0.0
20220421:1810,0.0,0.0,0.0,7.39,2.41,0.0
20220421:1910,0.0,0.0,0.0,6.66,2.9,0.0
20220421:2010,0.0,0.0,0.0,6.35,3.03,0.0
20220421:2110,0.0,0.0,0.0,6.21,2.83,0.0
20220421:2210,0.0,0.0,0.0,6.18,2.62,0.0
20220421:2310,0.0,0.0,0.0,6.14,2.48,0.0
20220422:0010,0.0,0.0,0.0,6.07,2.55,0.0
20220422:0110,0.0,0.0,0.0,6.25,2.55,0.0
20220422:0210,0.0,0.0,0.0,6.22,2.9,0.0
20220422:0310,0.0,0.0,0.0,6.17,2.97,0.0
20220422:0410,0.0,0.0,0.0,6.18,3.03,0.0
20220422:0510,34.95,58.0,8.25,6.3,3.38,0.0
20220422:0610,109.15,143.0,17.66,6.85,4.69,0.0
20220422:0710,246.65,297.0,26.98,7.15,4.62,0.0
20220422:0810,317.25,376.0,35.75,8.05,4.9,0.0
20220422:0910,544.56,640.01,43.34,9.32,4.83,0.0
20220422:1010,563.22,669.01,48.83,10.96,4.76,0.0
20220422:1110,571.34,684.01,51.18,12.18,4.62,0.0
20220422:1210,442.23,532.0,49.78,13.09,4.9,0.0
20220422:1310,284.73,348.0,45.0,13.5,5.03,0.0
20220422:1410,164.76,209.0,37.86,12.96,4.69,0.0
20220422:1510,45.63,70.0,29.32,12.86,4.69,0.0
20220422:1610,58.02,85.0,20.09,12.98,4.62,0.0
20220422:1710,39.31,63.0,10.67,12.48,3.59,0.0
20220422:1810,0.0,0.0,0.0,11.48,3.38,0.0
20220422:1910,0.0,0.0,0.0,9.86,3.59,0.0
20220422:2010,0.0,0.0,0.0,9.46,3.59,0.0
20220422:2110,0.0,0.0,0.0,9.1,3.52,0.0
20220422:2210,0.0,0.0,0.0,8.78,3.59,0.0
20220422:2310,0.0,0.0,0.0,8.61,3.66,0.0
20220423:0010,0.0,0.0,0.0,8.18,3.59,0.0
20220423:0110,0.0,0.0,0.0,7.81,3.38,0.0
20220423:0210,0.0,0.0,0.0,7.5,3.17,0.0
20220423:0310,0.0,0.0,0.0,7.0,2.97,0.0
20220423:0410,0.0,0.0,0.0,6.63,2.83,0.0
20220423:0510,2.48,11.0,8.54,6.6,2.97,0.0
20220423:0610,36.11,57.0,17.95,7.2,4.48,0.0
20220423:0710,113.62,147.0,27.27,8.07,5.03,0.0
20220423:0810,209.72,256.0,36.06,9.05,5.1,0.0
20220423:0910,392.64,466.0,43.66,10.23,5.24,0.0
20220423:1010,421.49,503.0,49.16,11.34,5.1,0.0
20220423:1110,478.91,574.0,51.51,12.2,4.69,0.0
20220423:1210,664.0,798.01,50.09,13.15,4.76,0.0
20220423:1310,606.52,729.01,45.28,13.97,4.83,0.0
20220423:1410,503.6,606.01,38.11,14.62,5.03,0.0
20220423:1510,358.2,438.0,29.56,14.71,5.03,0.0
20220423:1610,211.14,274.0,20.32,14.47,4.62,0.0
20220423:1710,75.41,118.0,10.9,13.58,4.34,0.0
20220423:1810,0.0,0.0,0.0,12.41,4.14,0.0
20220423:1910,0.0,0.0,0.0,11.17,3.93,0.0
20220423:2010,0.0,0.0,0.0,10.39,3.79,0.0
20220423:2110,0.0,0.0,0.0,9.71,3.59,0.0
20220423:2210,0.0,0.0,0.0,9.03,3.52,0.0
20220423:2310,0.0,0.0,0.0,8.4,3.66,0.0
20220424:0010,0.0,0.0,0.0,7.92,3.66,0.0
20220424:0110,0.0,0.0,0.0,7.45,3.59,0.0
20220424:0210,0.0,0.0,0.0,7.08,3.52,0.0
20220424:0310,0.0,0.0,0.0,6.77,3.59,0.0
20220424:0410,0.0,0.0,0.0,6.54,3.66,0.0
20220424:0510,20.26,37.0,8.83,6.46,3.66,0.0
20220424:0610,51.16,75.0,18.23,6.92,3.17,0.0
20220424:0710,128.76,164.0,27.56,7.56,3.86,0.0
20220424:0810,255.45,308.0,36.36,8.77,4.07,0.0
20220424:0910,178.31,222.0,43.98,10.06,4.28,0.0
20220424:1010,87.43,119.0,49.5,11.59,4.76,0.0
20220424:1110,80.33,111.0,51.85,12.29,5.59,0.0
20220424:1210,119.94,157.0,50.4,12.38,4.76,0.0
20220424:1310,93.06,126.0,45.56,12.64,5.38,0.0
20220424:1410,100.94,135.0,38.37,11.99,3.79,0.0
20220424:1510,64.3,92.0,29.79,11.47,3.59,0.0
20220424:1610,68.8,97.0,20.54,10.67,3.45,0.0
20220424:1710,12.57,27.0,11.12,9.86,3.03,0.0
20220424:1810,0.0,1.0,1.92,9.11,2.34,0.0
20220424:1910,0.0,0.0,0.0,8.4,0.69,0.0
20220424:2010,0.0,0.0,0.0,7.22,1.38,0.0
20220424:2110,0.0,0.0,0.0,6.25,1.24,0.0
20220424:2210,0.0,0.0,0.0,6.28,1.31,0.0
20220424:2310,0.0,0.0,0.0,5.81,1.31,0.0
20220425:0010,0.0,0.0,0.0,5.36,1.52,0.0
20220425:0110,0.0,0.0,0.0,5.21,1.45,0.0
20220425:0210,0.0,0.0,0.0,4.78,1.38,0.0
20220425:0310,0.0,0.0,0.0,4.62,1.31,0.0
20220425:0410,0.0,0.0,0.0,4.65,1.17,0.0
20220425:0510,1.99,10.0,9.11,4.75,1.03,0.0
20220425:0610,17.2,33.0,18.51,6.36,1.1,0.0
20220425:0710,49.29,73.0,27.85,7.04,0.76,0.0
20220425:0810,81.55,111.0,36.65,7.73,0.76,0.0
20220425:0910,182.99,228.0,44.29,8.88,1.38,0.0
20220425:1010,174.91,219.0,49.82,9.6,1.93,0.0
20220425:1110,178.07,223.0,52.17,9.87,1.79,0.0
20220425:1210,354.24,431.0,50.71,10.51,1.59,0.0
20220425:1310,317.87,390.0,45.84,12.05,1.59,0.0
20220425:1410,181.21,229.0,38.61,12.49,2.0,0.0
20220425:1510,171.15,217.0,30.02,12.51,2.48,0.0
20220425:1610,151.9,196.0,20.76,11.59,2.97,0.0
20220425:1710,81.56,124.0,11.34,10.83,2.62,0.0
20220425:1810,0.0,4.0,2.15,10.05,2.48,0.0
20220425:1910,0.0,0.0,0.0,8.46,2.28,0.0
20220425:2010,0.0,0.0,0.0,7.59,2.14,0.0
20220425:2110,0.0,0.0,0.0,7.04,2.07,0.0
20220425:2210,0.0,0.0,0.0,6.45,2.14,0.0
20220425:2310,0.0,0.0,0.0,6.05,2.07,0.0
20220426:0010,0.0,0.0,0.0,5.76,1.86,0.0
20220426:0110,0.0,0.0,0.0,5.58,1.79,0.0
20220426:0210,0.0,0.0,0.0,5.15,1.79,0.0
20220426:0310,0.0,0.0,0.0,4.9,1.79,0.0
20220426:0410,0.0,0.0,0.0,4.76,1.79,0.0
20220426:0510,4.22,14.0,9.39,4.81,1.66,0.0
20220426:0610,17.98,34.0,18.79,6.16,1.66,0.0
20220426:0710,35.21,56.0,28.12,7.26,1.86,0.0
20220426:0810,64.39,91.0,36.94,8.09,2.0,0.0
20220426:0910,153.87,194.0,44.59,8.67,2.0,0.0
20220426:1010,92.23,124.0,50.15,9.91,2.69,0.0
20220426:1110,119.8,156.0,52.5,10.35,2.62,0.0
20220426:1210,120.64,157.0,51.02,10.2,2.21,0.0
20220426:1310,137.73,177.0,46.12,10.43,1.79,0.0
20220426:1410,157.35,200.0,38.86,10.81,1.66,0.0
20220426:1510,215.56,268.0,30.25,10.89,1.31,0.0
20220426:1610,82.8,114.0,20.98,11.09,1.1,0.0
20220426:1710,18.24,35.0,11.56,11.11,0.76,0.0
20220426:1810,0.0,1.0,2.38,10.37,1.24,0.0
20220426:1910,0.0,0.0,0.0,8.01,1.03,0.0
20220426:2010,0.0,0.0,0.0,7.09,1.31,0.0
20220426:2110,0.0,0.0,0.0,6.49,1.38,0.0
20220426:2210,0.0,0.0,0.0,5.87,1.59,0.0
20220426:2310,0.0,0.0,0.0,5.03,1.79,0.0
20220427:0010,0.0,0.0,0.0,4.81,1.93,0.0
20220427:0110,0.0,0.0,0.0,4.25,1.93,0.0
20220427:0210,0.0,0.0,0.0,3.36,1.72,0.0
20220427:0310,0.0,0.0,0.0,2.22,1.72,0.0
20220427:0410,0.0,0.0,0.0,1.48,1.72,0.0
20220427:0510,53.83,82.0,9.66,1.98,1.38,0.0
20220427:0610,170.83,217.0,19.06,5.58,1.38,0.0
20220427:0710,332.74,403.0,28.4,7.82,1.38,0.0
20220427:0810,500.66,605.01,37.23,9.78,1.52,0.0
20220427:0910,596.66,730.01,44.9,11.52,1.66,0.0
20220427:1010,0.0,0.0,0.0,12.88,2.14,0.0
20220427:1110,557.9,688.01,52.82,13.52,2.0,0.0
20220427:1210,509.83,629.0,51.32,13.85,1.86,0.0
20220427:1310,136.16,178.0,46.39,14.21,1.93,0.0
20220427:1410,151.73,196.0,39.1,14.01,2.07,0.0
20220427:1510,333.77,411.0,30.47,13.52,2.21,0.0
20220427:1610,57.01,84.0,21.2,13.04,2.07,0.0
20220427:1710,27.98,48.0,11.78,12.58,1.72,0.0
20220427:1810,0.0,5.0,2.61,11.78,1.45,0.0
20220427:1910,0.0,0.0,0.0,10.96,1.52,0.0
20220427:2010,0.0,0.0,0.0,9.15,1.52,0.0
20220427:2110,0.0,0.0,0.0,8.43,1.31,0.0
20220427:2210,0.0,0.0,0.0,8.43,1.1,0.0
20220427:2310,0.0,0.0,0.0,8.37,0.97,0.0
20220428:0010,0.0,0.0,0.0,8.32,0.76,0.0
20220428:0110,0.0,0.0,0.0,7.67,0.76,0.0
20220428:0210,0.0,0.0,0.0,7.17,0.76,0.0
20220428:0310,0.0,0.0,0.0,6.92,0.69,0.0
20220428:0410,0.0,0.0,0.0,6.73,0.55,0.0
20220428:0510,40.64,64.0,9.93,6.53,0.48,0.0
20220428:0610,141.04,182.0,19.32,7.43,0.34,0.0
20220428:0710,273.9,337.0,28.67,9.45,0.55,0.0
20220428:0810,485.71,598.01,37.51,11.2,0.55,0.0
20220428:0910,580.16,724.01,45.19,12.69,0.69,0.0
20220428:1010,635.41,799.01,50.78,13.76,1.03,0.0
20220428:1110,438.71,544.0,53.14,14.78,1.72,0.0
20220428:1210,636.25,796.01,51.62,15.08,1.79,0.0
20220428:1310,541.85,674.01,46.65,15.43,1.72,0.0
20220428:1410,460.71,569.0,39.34,15.26,1.86,0.0
20220428:1510,321.94,400.0,30.69,15.09,2.0,0.0
20220428:1610,171.43,223.0,21.42,14.77,1.86,0.0
20220428:1710,95.89,148.0,12.0,14.41,1.52,0.0
20220428:1810,0.92,8.0,2.83,13.07,1.59,0.0
20220428:1910,0.0,0.0,0.0,11.58,2.07,0.0
20220428:2010,0.0,0.0,0.0,10.07,1.79,0.0
20220428:2110,0.0,0.0,0.0,8.47,1.66,0.0
20220428:2210,0.0,0.0,0.0,7.19,1.59,0.0
20220428:2310,0.0,0.0,0.0,6.33,1.52,0.0
20220429:0010,0.0,0.0,0.0,5.82,1.38,0.0
20220429:0110,0.0,0.0,0.0,5.39,1.31,0.0
20220429:0210,0.0,0.0,0.0,4.97,1.31,0.0
20220429:0310,0.0,0.0,0.0,4.29,1.38,0.0
20220429:0410,0.0,0.0,0.0,3.62,1.45,0.0
20220429:0510,74.14,115.0,10.19,4.16,1.03,0.0
20220429:0610,183.89,235.0,19.58,7.22,0.69,0.0
20220429:0710,363.24,445.0,28.93,10.51,1.38,0.0
20220429:0810,378.07,463.0,37.79,12.41,1.38,0.0
20220429:0910,422.92,524.0,45.49,13.98,1.1,0.0
20220429:1010,583.47,741.01,51.09,15.37,0.69,0.0
20220429:1110,364.85,462.0,53.45,16.44,0.41,0.0
20220429:1210,423.16,536.0,51.91,17.0,0.69,0.0
20220429:1310,283.34,359.0,46.92,16.87,0.76,0.0
20220429:1410,272.13,344.0,39.58,16.62,0.9,0.0
20220429:1510,267.59,338.0,30.92,16.38,1.1,0.0
20220429:1610,148.66,196.0,21.63,15.75,1.24,0.0
20220429:1710,29.95,51.0,12.21,14.88,1.38,0.0
20220429:1810,0.0,5.0,3.06,13.76,1.52,0.0
20220429:1910,0.0,0.0,0.0,12.42,1.59,0.0
20220429:2010,0.0,0.0,0.0,11.33,1.52,0.0
20220429:2110,0.0,0.0,0.0,10.6,1.66,0.0
20220429:2210,0.0,0.0,0.0,10.01,1.86,0.0
20220429:2310,0.0,0.0,0.0,9.14,1.93,0.0
20220430:0010,0.0,0.0,0.0,8.55,1.79,0.0
20220430:0110,0.0,0.0,0.0,7.66,1.79,0.0
20220430:0210,0.0,0.0,0.0,7.12,1.79,0.0
20220430:0310,0.0,0.0,0.0,6.65,2.0,0.0
20220430:0410,0.0,0.0,0.0,6.24,2.0,0.0
20220430:0510,39.68,62.0,10.45,6.04,1.72,0.0
20220430:0610,35.33,56.0,19.84,6.63,2.07,0.0
20220430:0710,66.52,93.0,29.19,6.77,2.0,0.0
20220430:0810,152.87,192.0,38.06,7.58,1.93,0.0
20220430:0910,209.17,257.0,45.77,8.75,2.41,0.0
20220430:1010,301.98,367.0,51.39,10.3,2.28,0.0
20220430:1110,235.46,291.0,53.76,11.3,2.07,0.0
20220430:1210,148.75,191.0,52.2,12.11,1.93,0.0
20220430:1310,288.72,356.0,47.18,13.18,2.21,0.0
20220430:1410,268.87,332.0,39.82,13.53,2.62,0.0
20220430:1510,368.83,450.0,31.14,13.25,3.1,0.0
20220430:1610,188.91,241.0,21.84,12.59,3.24,0.0
20220430:1710,73.89,108.0,12.43,11.73,2.76,0.0
20220430:1810,0.0,4.0,3.28,10.72,2.55,0.0
20220430:1910,0.0,0.0,0.0,9.13,2.28,0.0
20220430:2010,0.0,0.0,0.0,8.45,2.14,0.0
20220430:2110,0.0,0.0,0.0,7.96,2.0,0.0
20220430:2210,0.0,0.0,0.0,7.26,1.72,0.0
20220430:2310,0.0,0.0,0.0,6.61,1.52,0.0
20220501:0010,0.0,0.0,0.0,5.9,1.59,0.0
20220501:0110,0.0,0.0,0.0,5.74,1.45,0.0
20220501:0210,0.0,0.0,0.0,5.23,1.52,0.0
20220501:0310,0.0,0.0,0.0,4.78,1.52,0.0
20220501:0410,0.0,1.0,1.67,4.47,1.38,0.0
20220501:0510,39.86,62.0,10.71,5.16,1.17,0.0
20220501:0610,116.81,152.0,20.09,7.37,1.24,0.0
20220501:0710,359.26,434.0,29.45,8.45,1.72,0.0
20220501:0810,429.83,515.0,38.32,9.67,2.28,0.0
20220501:0910,462.54,558.0,46.06,11.33,2.62,0.0
20220501:1010,642.07,786.01,51.69,12.3,2.34,0.0
20220501:1110,633.3,781.01,54.07,13.03,2.14,0.0
20220501:1210,654.04,809.01,52.49,13.23,2.0,0.0
20220501:1310,593.13,729.01,47.44,13.46,2.07,0.0
20220501:1410,509.62,624.01,40.05,13.72,2.0,0.0
20220501:1510,359.59,442.0,31.35,13.58,2.14,0.0
20220501:1610,238.57,305.0,22.05,13.21,2.48,0.0
20220501:1710,63.83,94.0,12.64,12.47,2.48,0.0
20220501:1810,0.12,6.0,3.5,11.6,2.34,0.0
20220501:1910,0.0,0.0,0.0,11.42,2.07,0.0
20220501:2010,0.0,0.0,0.0,10.54,2.0,0.0
20220501:2110,0.0,0.0,0.0,9.97,2.0,0.0
20220501:2210,0.0,0.0,0.0,9.37,1.93,0.0
20220501:2310,0.0,0.0,0.0,8.41,1.93,0.0
20220502:0010,0.0,0.0,0.0,7.66,2.0,0.0
20220502:0110,0.0,0.0,0.0,7.57,1.93,0.0
20220502:0210,0.0,0.0,0.0,6.87,1.93,0.0
20220502:0310,0.0,0.0,0.0,6.26,1.93,0.0
20220502:0410,0.0,1.0,1.93,5.9,1.86,0.0
20220502:0510,4.79,15.0,10.95,6.1,1.59,0.0
20220502:0610,171.18,218.0,20.34,8.49,1.52,0.0
20220502:0710,329.01,399.0,29.7,9.46,1.86,0.0
20220502:0810,505.76,610.01,38.58,10.6,2.0,0.0
20220502:0910,504.21,612.0,46.34,11.68,2.14,0.0
20220502:1010,658.43,809.01,51.99,12.62,2.28,0.0
20220502:1110,683.76,848.01,54.37,14.33,2.48,0.0
20220502:1210,665.2,827.01,52.78,15.44,2.55,0.0
20220502:1310,600.87,746.01,47.7,16.37,2.48,0.0
20220502:1410,518.71,643.01,40.28,16.59,2.21,0.0
20220502:1510,386.58,482.0,31.57,16.63,2.07,0.0
20220502:1610,237.99,309.0,22.26,15.96,1.66,0.0
20220502:1710,102.4,154.0,12.85,15.62,1.38,0.0
20220502:1810,0.91,8.0,3.72,14.34,1.66,0.0
20220502:1910,0.0,0.0,0.0,13.27,1.79,0.0
20220502:2010,0.0,0.0,0.0,11.74,1.79,0.0
20220502:2110,0.0,0.0,0.0,10.14,1.86,0.0
20220502:2210,0.0,0.0,0.0,9.17,1.93,0.0
20220502:2310,0.0,0.0,0.0,8.07,1.79,0.0
20220503:0010,0.0,0.0,0.0,7.57,1.66,0.0
20220503:0110,0.0,0.0,0.0,7.15,1.66,0.0
20220503:0210,0.0,0.0,0.0,6.4,1.66,0.0
20220503:0310,0.0,0.0,0.0,6.11,1.45,0.0
20220503:0410,0.0,1.0,2.18,6.08,1.24,0.0
20220503:0510,46.98,71.0,11.2,6.24,1.17,0.0
20220503:0610,149.97,193.0,20.58,9.38,1.03,0.0
20220503:0710,294.97,363.0,29.95,11.57,1.38,0.0
20220503:0810,385.7,471.0,38.84,12.96,2.0,0.0
20220503:0910,428.91,526.0,46.61,13.96,2.21,0.0
20220503:1010,567.63,701.01,52.28,14.5,2.28,0.0
20220503:1110,674.07,842.01,54.66,15.52,2.34,0.0
20220503:1210,653.48,817.01,53.06,16.19,2.34,0.0
20220503:1310,531.72,662.01,47.95,16.46,2.07,0.0
20220503:1410,475.89,592.0,40.51,16.75,1.86,0.0
20220503:1510,384.66,480.0,31.78,16.65,1.93,0.0
20220503:1610,249.78,323.0,22.47,15.96,2.28,0.0
20220503:1710,92.52,136.0,13.06,15.31,2.0,0.0
20220503:1810,4.54,15.0,3.93,14.48,1.59,0.0
20220503:1910,0.0,0.0,0.0,13.57,1.93,0.0
20220503:2010,0.0,0.0,0.0,12.32,1.93,0.0
20220503:2110,0.0,0.0,0.0,11.17,1.86,0.0
20220503:2210,0.0,0.0,0.0,9.9,1.79,0.0
20220503:2310,0.0,0.0,0.0,8.8,1.79,0.0
20220504:0010,0.0,0.0,0.0,7.88,1.72,0.0
20220504:0110,0.0,0.0,0.0,7.18,1.66,0.0
20220504:0210,0.0,0.0,0.0,6.73,1.66,0.0
20220504:0310,0.0,0.0,0.0,6.21,1.59,0.0
20220504:0410,0.0,3.0,2.43,5.74,1.52,0.0
20220504:0510,13.53,28.0,11.44,6.23,1.17,0.0
20220504:0610,103.19,137.0,20.82,9.19,1.1,0.0
20220504:0710,190.81,239.0,30.19,10.7,1.24,0.0
20220504:0810,326.55,400.0,39.09,11.89,1.38,0.0
20220504:0910,534.83,661.01,46.88,13.44,1.38,0.0
20220504:1010,438.58,547.0,52.57,14.94,1.17,0.0
20220504:1110,289.95,366.0,54.95,16.3,0.97,0.0
20220504:1210,367.15,463.0,53.33,17.15,1.1,0.0
20220504:1310,437.46,550.0,48.2,17.28,1.31,0.0
20220504:1410,276.27,349.0,40.73,17.31,1.38,0.0
20220504:1510,35.99,59.0,31.99,16.07,1.03,0.0
20220504:1610,14.3,30.0,22.67,14.97,1.38,0.0
20220504:1710,5.13,16.0,13.26,14.15,0.76,0.0
20220504:1810,2.36,11.0,4.15,13.35,1.24,0.0
20220504:1910,0.0,0.0,0.0,12.75,1.45,0.0
20220504:2010,0.0,0.0,0.0,11.84,1.52,0.0
20220504:2110,0.0,0.0,0.0,11.23,1.38,0.0
20220504:2210,0.0,0.0,0.0,10.1,1.72,0.0
20220504:2310,0.0,0.0,0.0,9.26,1.72,0.0
20220505:0010,0.0,0.0,0.0,8.68,1.72,0.0
20220505:0110,0.0,0.0,0.0,7.56,1.72,0.0
20220505:0210,0.0,0.0,0.0,6.72,1.52,0.0
20220505:0310,0.0,0.0,0.0,6.32,1.24,0.0
20220505:0410,0.0,2.0,2.67,6.2,1.1,0.0
20220505:0510,15.66,31.0,11.67,7.0,0.76,0.0
20220505:0610,89.31,121.0,21.05,9.49,0.62,0.0
20220505:0710,130.18,169.0,30.42,10.93,1.03,0.0
20220505:0810,257.77,319.0,39.34,12.55,1.66,0.0
20220505:0910,275.1,341.0,47.14,13.59,1.93,0.0
20220505:1010,513.17,636.0,52.85,14.38,1.72,0.0
20220505:1110,523.67,654.0,55.24,14.93,1.45,0.0
20220505:1210,502.6,630.0,53.61,15.32,1.17,0.0
20220505:1310,310.36,388.0,48.44,15.52,1.38,0.0
20220505:1410,338.41,419.0,40.96,15.26,2.0,0.0
20220505:1510,336.81,416.0,32.2,15.06,2.48,0.0
20220505:1610,199.69,256.0,22.87,14.95,2.83,0.0
20220505:1710,106.16,155.0,13.47,14.56,2.48,0.0
20220505:1810,2.36,11.0,4.36,13.49,1.93,0.0
20220505:1910,0.0,0.0,0.0,12.51,1.72,0.0
20220505:2010,0.0,0.0,0.0,11.49,1.66,0.0
20220505:2110,0.0,0.0,0.0,10.87,1.52,0.0
20220505:2210,0.0,0.0,0.0,9.85,1.38,0.0
20220505:2310,0.0,0.0,0.0,9.21,1.24,0.0
20220506:0010,0.0,0.0,0.0,8.61,1.24,0.0
20220506:0110,0.0,0.0,0.0,7.97,1.38,0.0
20220506:0210,0.0,0.0,0.0,7.3,1.38,0.0
20220506:0310,0.0,0.0,0.0,6.83,1.24,0.0
20220506:0410,0.98,8.0,2.91,7.71,0.9,0.0
20220506:0510,106.02,163.0,11.9,8.18,0.62,0.0
20220506:0610,250.41,322.0,21.28,9.78,0.34,0.0
20220506:0710,393.43,487.0,30.65,12.34,0.83,0.0
20220506:0810,521.91,646.01,39.58,13.91,1.24,0.0
20220506:0910,612.94,762.01,47.4,15.1,1.93,0.0
20220506:1010,679.18,849.01,53.12,15.86,2.41,0.0
20220506:1110,674.43,847.01,55.53,16.48,2.34,0.0
20220506:1210,500.86,626.0,53.87,16.82,2.07,0.0
20220506:1310,504.96,630.0,48.69,16.68,1.93,0.0
20220506:1410,433.01,539.0,41.18,16.76,1.79,0.0
20220506:1510,342.9,429.0,32.4,16.73,1.66,0.0
20220506:1610,231.2,299.0,23.07,16.21,1.31,0.0
20220506:1710,128.03,193.0,13.67,15.93,1.1,0.0
20220506:1810,13.04,38.03,4.57,14.73,0.97,0.0
20220506:1910,0.0,0.0,0.0,14.1,0.69,0.0
20220506:2010,0.0,0.0,0.0,12.77,0.9,0.0
20220506:2110,0.0,0.0,0.0,10.97,1.31,0.0
20220506:2210,0.0,0.0,0.0,11.63,0.9,0.0
20220506:2310,0.0,0.0,0.0,10.39,1.03,0.0
20220507:0010,0.0,0.0,0.0,9.07,1.17,0.0
20220507:0110,0.0,0.0,0.0,8.49,1.24,0.0
20220507:0210,0.0,0.0,0.0,8.05,1.24,0.0
20220507:0310,0.0,0.0,0.0,7.99,1.1,0.0
20220507:0410,0.14,6.0,3.14,7.88,1.1,0.0
20220507:0510,103.1,155.0,12.13,7.83,1.1,0.0
20220507:0610,242.76,313.0,21.5,11.05,0.34,0.0
20220507:0710,376.79,472.0,30.88,13.73,0.28,0.0
20220507:0810,493.82,622.01,39.81,15.62,0.48,0.0
20220507:0910,571.25,733.01,47.65,16.84,0.34,0.0
20220507:1010,609.43,789.01,53.39,17.87,0.55,0.0
20220507:1110,527.58,676.0,55.8,18.13,0.83,0.0
20220507:1210,537.6,686.01,54.14,18.39,1.17,0.0
20220507:1310,588.44,749.01,48.92,18.46,1.38,0.0
20220507:1410,474.14,597.0,41.39,18.48,1.52,0.0
20220507:1510,226.43,290.0,32.6,18.47,1.52,0.0
20220507:1610,175.09,230.0,23.27,18.39,1.59,0.0
20220507:1710,93.29,136.0,13.87,17.64,1.45,0.0
20220507:1810,6.88,19.0,4.78,16.34,1.52,0.0
20220507:1910,0.0,0.0,0.0,15.11,1.72,0.0
20220507:2010,0.0,0.0,0.0,13.72,1.93,0.0
20220507:2110,0.0,0.0,0.0,12.45,1.86,0.0
20220507:2210,0.0,0.0,0.0,11.4,1.72,0.0
20220507:2310,0.0,0.0,0.0,10.6,1.72,0.0
20220508:0010,0.0,0.0,0.0,9.82,1.66,0.0
20220508:0110,0.0,0.0,0.0,9.18,1.59,0.0
20220508:0210,0.0,0.0,0.0,8.55,1.59,0.0
