,horizon,MAE,RMSE,R2
0,1,7.337864653030014,13.03510473594149,0.8756725028263884
1,2,13.175130950105142,21.74006976083306,0.6541397028515226
2,3,17.74517109539285,27.79160574310446,0.4347473743512563
3,4,21.257289237239533,32.01520176874783,0.2498788889224789
4,5,23.78875740776142,34.82889849244307,0.11230378990092404
5,6,25.35731982412541,36.44700183662562,0.027997965090852173
6,7,26.029510609826037,37.01967650710226,-0.002674970201380855
7,8,25.912838845345057,36.74318271681627,0.012351747436976312
8,9,25.32656662206079,35.93590090305786,0.05537403226048376
9,10,24.577543490728353,34.88770863529803,0.10972776186753497
10,11,23.985492257694514,33.972282059456646,0.15583939441728745
11,12,23.909713247944946,33.82258264289471,0.16326635939277456
12,13,24.836298986809403,35.03454686750539,0.10226594566420921
13,14,26.233888357866565,36.95814776780716,0.0011842121871653566
14,15,27.708772701204364,38.86711255112162,-0.10433432560432077
15,16,28.947346587650546,40.40671825332792,-0.19302712575407432
16,17,29.697728923723954,41.33006646911454,-0.24752322146976158
17,18,29.77471611546549,41.54227172287006,-0.2598717159547137
18,19,29.172607532020645,41.00578084563769,-0.2272314944406093
19,20,27.963622634295543,39.66143804560718,-0.14787630072384395
20,21,26.13654177021602,37.526792348516125,-0.02752721809828107
21,22,24.089231504492446,34.90154192485708,0.11124557481424369
22,23,22.27838463008985,32.39433439770821,0.23433269385189082
23,24,21.769156948958134,31.541583476498644,0.2740906487963872
