actual_price,predicted_price,actual_P,predicted_P
95.56,110.29708,4017.4615,3833.4592
172.94,119.80447,2223.0637500000003,2462.5662
265.41,200.84682,965.19425,1166.3406
427.76,284.71133,246.6515,385.75656
256.99,322.25952,18.557,-18.363905
142.98,198.22423,0.0,-20.744892
113.74,130.7476,0.0,-18.60442
114.14,110.36145,0.0,-18.590229
111.87,109.6786,0.0,-15.592975
103.85,111.9061,0.0,11.738437
101.21,105.2995,0.0,11.738437
99.76,105.18393,80.0785,161.9191
115.0,109.00499,524.9875,798.9707
134.17,127.38173,1587.8365,1463.2588
120.25,133.54306,3188.767,3237.2642
105.3,110.90253,4953.41,5497.0146
112.21,92.35961,6844.14725,6920.488
93.0,94.33349,7900.773000000001,8256.557
75.77,83.01309,8503.13975,8448.219
65.86,70.89725,8923.85,8613.696
60.82,63.03985,9182.59775,8518.799
60.54,59.31578,9592.755,8589.351
75.8,70.54217,9253.212,8593.208
78.84,86.80068,8020.71925,7457.4917
89.81,91.748146,5994.05225,6157.042
115.83,123.93287,3529.36725,3832.6943
199.49,151.17613,1599.29625,1759.2351
343.66,252.73936,464.11675,372.50357
187.76,295.80737,35.59,7.704485
104.52,160.29922,0.0,2.006746
93.41,101.40067,0.0,2.006746
107.46,94.40283,0.0,2.006746
100.27,102.9903,0.0,2.006746
101.68,98.854095,0.0,25.036552
100.27,101.513916,0.0,18.05714
97.93,100.83355,228.47925,119.634926
90.23,104.37077,974.8305,678.1549
107.73,105.36268,2433.40525,2126.4998
113.57,109.99123,4527.054,4477.747
105.61,107.5578,6999.5425,6718.754
65.26,94.879295,9287.50425,8848.143
-2.35,53.81292,10723.70525,10429.642
-15.97,-4.092027,11107.08025,10934.148
-1.23,-12.670508,10454.32075,10768.361
9.69,1.5080017,9144.35275,10208.004
17.72,15.002654,9284.339,8831.552
46.86,41.249718,7456.9535,8350.934
78.34,68.12754,5605.10775,6240.1216
102.72,100.45743,4173.3715,4026.5215
122.76,128.38545,2518.7174999999997,2566.028
161.47,156.42532,1088.748,1287.6476
223.09,204.07439,279.62825,431.29883
151.2,201.25714,18.64975,-29.823187
117.8,127.612465,0.0,-28.378391
97.07,103.59574,0.0,-25.119926
107.21,95.671135,0.0,-25.119926
103.39,102.162254,0.0,-9.990691
101.4,100.94099,0.0,11.804201
100.04,101.71351,0.0,4.5093184
100.5,101.07985,144.01675,154.68997
100.04,102.564476,563.3205,720.1476
114.03,111.92153,1636.21675,1863.6998
126.38,116.24471,3478.30475,3331.7563
113.58,116.91994,5623.5085,5707.42
106.57,92.138504,7547.7735,7218.812
85.87,84.336006,8729.3285,8707.911
63.1,73.118095,9409.055,9162.884
61.04,54.93603,8900.5625,9333.35
61.13,53.964993,9673.84225,8456.642
76.82,57.235153,8778.26525,9066.0
100.04,78.98288,7362.24925,7831.0435
106.55,105.0901,5788.79125,5961.5273
104.29,114.64748,4097.18475,4034.3848
116.86,127.04435,2575.5575,2416.7747
151.91,142.98827,1148.767,1263.5946
218.03,183.19785,303.2185,358.42892
161.32,186.34883,16.98625,-18.542261
110.99,134.47241,0.0,-20.730701
102.23,102.496796,0.0,-18.60442
106.91,100.20937,0.0,-15.592975
105.62,102.908485,0.0,-13.409189
105.6,104.65371,0.0,17.789219
104.7,103.819954,0.0,20.919247
102.41,106.07006,177.34575,225.41689
100.42,104.41124,923.013,711.14764
98.6,111.25509,2388.29525,2059.4265
85.01,102.5099,4203.02725,4633.9863
85.2,83.15632,5812.5255,6408.3853
65.0,76.49291,6940.931500000001,7511.729
0.02,53.67287,7200.6285,8241.863
0.5,1.0550897,6998.5375,7755.3916
2.99,4.218524,6740.0935,7055.656
1.06,7.8257213,6654.63425,6701.783
0.24,14.090915,6049.3505000000005,6233.057
0.15,23.844746,6228.885,5310.7104
14.0,32.598003,5849.37775,4983.7075
89.34,43.99563,4713.155,4033.8281
147.92,109.05642,2889.38475,2709.385
144.99,165.33223,1301.19525,1362.943
196.07,171.15361,348.85475,425.40585
144.08,175.25021,12.767,-1.8224697
125.46,127.68419,0.0,-9.689807
105.57,113.03239,0.0,2.006746
116.08,103.85087,0.0,2.006746
112.34,111.0519,0.0,2.006746
110.3,113.13165,0.0,21.73684
105.6,109.50384,0.0,19.430279
93.77,108.526794,177.134,142.26682
94.07,99.46368,852.7322499999999,814.189
104.33,100.05853,2363.362,1795.506
102.57,96.45842,4622.61025,4550.197
94.56,94.36973,6557.20475,6663.7363
63.85,77.57087,7398.76825,8460.382
29.48,48.566498,7828.29825,8521.107
9.44,20.928688,6837.7605,8211.45
1.19,7.4450808,6317.87225,6857.2334
24.16,7.394208,5850.977,6143.481
82.79,24.819868,4625.45225,5368.7188
100.3,82.54178,3915.7815,4065.896
102.57,100.267746,3159.14675,3283.7039
118.92,110.85392,2343.1265,2575.2156
87.14,139.81076,1565.30325,1812.7838
119.35,108.973656,748.256,957.5304
140.27,143.07802,238.00875,373.3459
123.82,143.9111,13.45875,6.147954
106.85,115.87849,0.0,-13.42338
91.54,100.75464,0.0,-2.669173
94.46,91.37849,0.0,-13.409189
84.92,92.47717,0.0,-13.409189
84.84,83.83188,0.0,4.5093184
77.24,84.40683,0.0,11.752624
70.7,78.769165,162.0965,165.85075
71.01,74.644966,819.6600000000001,785.92926
64.99,74.62982,2274.401,2213.3513
65.5,60.767193,3747.0665,4536.0444
2.44,56.823845,5138.9215,6066.356
-0.5,-1.5873264,6637.69975,7045.133
-2.0,-12.642443,6328.9955,7960.367
-5.58,-7.7924566,6254.7657500000005,6893.002
-18.42,-4.0904675,5953.89425,6333.7036
-18.76,-15.866908,4692.41725,5718.207
-11.77,-10.565835,4300.299,4280.7866
-22.66,0.118546814,3727.50775,3689.1838
-15.44,4.875124,3162.43525,2743.4343
41.66,14.412819,2756.5295,2150.8936
87.28,64.62805,2116.583,1726.1818
83.77,100.84488,1019.8715,995.3382
113.71,97.76579,285.96524999999997,274.40387
80.68,110.68809,11.9125,-2.1540656
91.81,77.8364,0.0,-13.409189
64.29,90.239586,0.0,-1.9459529
4.75,67.71442,0.0,2.0209367
8.14,15.405644,0.0,2.0209367
0.0,18.476126,0.0,16.985252
0.23,14.994476,0.0,18.630974
6.66,15.107041,151.85775,153.78297
25.35,22.904503,605.26275,675.9306
65.17,43.304874,1546.547,1663.072
58.48,72.379745,2779.619,2993.673
24.59,58.743786,4356.25475,4566.9473
0.06,22.38661,4945.6142500000005,5974.4507
0.05,3.359721,5303.20525,5924.098
0.02,7.1200504,6727.3642500000005,5856.2485
-2.31,10.283487,6729.86525,6779.6313
-9.58,4.775983,7023.171,6520.477
-11.11,-5.778572,6246.055249999999,6448.091
-1.6,4.0480533,6217.42325,5382.1616
-4.01,19.2617,5851.1245,5169.2847
32.96,22.33942,5224.85725,3927.94
102.95,71.002235,3278.09325,3049.3577
129.96,132.15756,1559.01275,1659.4174
194.38,171.85938,423.62825,334.0059
153.17,187.60193,10.8645,7.480765
126.07,141.07147,0.0,-2.6592033
103.02,114.84456,0.0,5.98308
102.58,98.79785,0.0,11.732003
105.96,99.28369,0.0,11.717811
94.01,99.681915,0.0,18.767467
91.73,91.856895,0.0,27.137276
85.02,90.96075,164.54475,125.66009
86.01,90.31483,980.3095,642.5621
77.69,96.85828,2590.9195,2057.231
83.86,85.28047,4798.62925,4289.525
103.91,77.80014,7160.729,6767.144
90.47,90.44197,9007.38025,8490.164
50.67,77.10742,8720.633,9657.615
57.81,44.773502,8535.5245,9104.842
76.57,55.031445,8126.9385,8721.066
79.0,71.86342,8085.825,7888.3955
87.13,76.47287,7298.97575,7573.8306
103.94,88.1705,6128.4887499999995,6552.1387
101.19,104.58202,4631.3905,5044.091
106.99,106.81379,3062.11125,3475.1584
155.19,120.44413,1631.9185,2204.1255
192.11,175.01688,684.12725,1090.485
225.37,217.0206,184.56875,347.67548
149.58,200.87993,19.98425,-8.326505
99.45,132.12923,0.0,-13.409189
88.12,92.09776,0.0,-13.409189
107.6,90.29711,0.0,-13.409189
108.57,103.86158,0.0,-13.409189
103.76,106.4435,0.0,11.738437
93.95,102.41507,0.0,11.738437
88.5,95.353874,115.40325,123.75834
93.9,92.49353,472.457,793.64594
120.11,103.60494,1190.0715,1597.4208
121.9,122.683266,2215.35325,2411.7832
113.18,112.06386,3483.552,4042.1655
106.45,96.53942,5252.9035,5266.6646
70.61,88.69319,6182.78875,6544.4316
54.72,60.557438,5693.90125,6844.943
7.61,50.201324,5998.282,6099.67
3.63,11.748772,5891.70925,6063.38
4.29,14.74329,5823.5825,5420.932
12.29,23.034115,5998.085,4942.138
34.66,33.33017,5534.474,4820.418
84.6,57.246925,5026.2645,3643.4443
102.11,107.32639,3351.828,2922.517
141.35,122.88606,1521.96925,1731.6702
219.9,171.74942,497.33275,342.1042
180.72,192.72122,26.3475,12.139515
121.61,142.88107,0.0,2.0209367
109.34,107.658,0.0,-13.409189
98.89,104.34182,0.0,2.0209367
104.12,95.87881,0.0,2.0209367
104.21,100.813576,0.0,16.616123
101.12,102.37064,0.0,27.151466
94.43,100.88142,199.01,109.981575
95.04,98.00236,976.982,537.42865
114.72,108.36953,2755.874,1800.0485
103.55,117.023964,5428.64875,4569.753
83.87,98.549164,8017.202499999999,7251.1147
36.33,75.63745,9998.719,9550.022
0.0,28.207983,9275.56925,10479.518
0.82,0.5376789,9470.11525,9492.545
-2.72,6.7265234,9266.63875,9186.099
-8.75,-1.8815955,9129.42975,8680.155
0.1,-10.519302,9033.89625,8453.71
5.25,17.272135,9359.22925,7923.6074
11.62,26.263533,7483.19825,7726.948
74.57,35.80516,6419.55125,5850.4365
89.58,92.42284,3801.55975,4671.3022
146.6,116.39815,1701.82225,1970.2349
232.91,179.03745,472.957,602.22015
187.82,203.11053,23.05275,12.139515
123.04,152.11177,0.0,-3.5009587
104.47,111.20473,0.0,2.0209367
105.63,99.21381,0.0,2.006746
106.18,100.509445,0.0,2.0209367
105.6,104.51063,0.0,16.616123
105.56,103.99877,0.0,18.767467
105.61,105.187836,115.956,178.88974
104.2,107.25053,739.9565,881.19385
106.29,111.76562,2119.91025,2169.8118
104.88,103.35355,4410.3895,3816.7524
105.19,93.95979,6642.49525,6831.801
58.64,86.60828,7890.50125,8680.688
4.27,44.83798,9445.08575,9115.79
0.32,2.4516544,10037.0545,9759.436
0.0,3.131071,9432.39725,9779.268
0.14,3.6138613,9977.2455,9045.356
0.01,7.0508204,9833.87075,9321.754
39.34,16.152596,9654.50075,8825.426
82.1,51.710384,8581.06425,8072.613
106.55,92.510254,6584.83975,6873.863
116.79,119.96461,3925.55925,4701.071
152.9,138.97716,1628.09,2228.3604
244.9,179.25201,495.7062499999999,569.2333
197.19,220.95119,27.462,6.603422
