actual_price,predicted_price,actual_P,predicted_P
98.21,94.95149,623.0,506.03433
66.5,84.973274,557.0,511.75983
80.0,57.186813,543.0,471.20087
69.76,67.70821,495.0,438.36337
69.76,59.2563,394.0,360.54477
69.76,60.20526,308.0,263.29657
69.76,60.76911,212.0,174.05916
80.95,63.22665,200.0,144.08145
95.94,81.492325,202.0,70.50878
107.61,93.39585,818.0,615.28046
82.0,96.3618,4229.0,3978.5908
52.0,68.05037,8989.0,7828.783
31.45,38.342903,12178.0,12247.186
5.0,17.03279,13981.0,13743.641
1.03,1.8136865,15847.0,14987.565
0.0,-0.89482856,16217.0,16280.852
0.0,-0.9361697,16584.0,16595.402
0.0,-0.9833163,17048.0,16847.463
0.0,-0.77684116,15426.0,16735.328
3.17,3.734723,14178.0,15061.091
17.71,8.913304,12193.0,13306.086
38.57,35.265068,8183.0,9818.678
53.1,62.850224,3906.0,5470.7285
108.27,70.139046,910.0,1467.33
108.78,103.089096,307.0,697.6214
96.05,93.51899,237.0,473.50668
89.6,87.100945,149.0,427.60913
80.71,79.61677,131.0,290.49088
75.14,77.0376,131.0,258.3217
75.0,72.94736,105.0,233.83347
74.52,73.57459,101.0,188.3151
82.13,75.19668,111.0,186.99092
98.22,88.86717,108.0,184.2967
105.0,103.38495,780.0,845.6674
78.1,97.71877,5118.0,4805.6226
48.37,62.220634,12434.0,11379.388
32.35,32.894287,17487.0,15865.138
4.83,16.38366,19554.0,18389.178
3.6,0.17588253,20226.0,19400.459
3.52,-0.17406055,20383.0,19641.24
1.72,-0.17406055,19635.0,20052.807
0.09,-1.3422333,18969.0,19440.424
0.0,-0.6026154,18056.0,18037.79
6.2,3.832786,17389.0,17220.88
28.04,21.052837,15871.0,14606.09
60.0,46.054535,12580.0,11100.391
108.38,77.77921,6428.0,5962.6646
127.01,116.1357,1548.0,1546.8318
123.46,121.47878,658.0,455.03815
99.38,109.84248,642.0,421.08038
110.73,91.61022,640.0,393.141
96.0,97.39682,601.0,370.63757
94.25,89.842064,605.0,366.27115
92.28,89.811165,528.0,363.98956
92.28,88.07829,440.0,330.12393
93.86,92.3265,331.0,239.39229
101.27,99.17724,265.0,204.71892
111.24,106.56917,931.0,876.93365
82.13,101.612686,6245.0,5329.813
17.01,66.6936,14195.0,12682.219
0.0,6.0152445,18587.0,17867.488
0.0,-6.0784993,19831.0,19960.68
