actual_price,actual_P,hour,day_of_week,month,is_weekend,cloud_cover,predicted_price_h1,predicted_price_h2,predicted_price_h3,predicted_price_h4,predicted_price_h5,predicted_price_h6,predicted_price_h7,predicted_price_h8,predicted_price_h9,predicted_price_h10,predicted_price_h11,predicted_price_h12,predicted_price_h13,predicted_price_h14,predicted_price_h15,predicted_price_h16,predicted_price_h17,predicted_price_h18,predicted_price_h19,predicted_price_h20,predicted_price_h21,predicted_price_h22,predicted_price_h23,predicted_price_h24,predicted_P_h1,predicted_P_h2,predicted_P_h3,predicted_P_h4,predicted_P_h5,predicted_P_h6,predicted_P_h7,predicted_P_h8,predicted_P_h9,predicted_P_h10,predicted_P_h11,predicted_P_h12,predicted_P_h13,predicted_P_h14,predicted_P_h15,predicted_P_h16,predicted_P_h17,predicted_P_h18,predicted_P_h19,predicted_P_h20,predicted_P_h21,predicted_P_h22,predicted_P_h23,predicted_P_h24
-0.08,275.994,11,1,5,0,100,-16.230528,-0.83855635,16.044674,47.433468,71.782135,96.51941,84.293,80.69026,83.48137,78.995415,72.91386,63.737823,57.31154,54.5906,51.78302,52.595066,64.81983,79.04785,80.117355,69.970184,47.838966,31.550348,9.977894,1.336202,135.1205,132.5199,112.23519,90.13876,53.08155,39.986954,17.65429,8.725797,13.440657,14.668016,8.5050125,14.336192,10.549496,6.261892,4.9184074,6.080699,15.087609,33.196964,64.160515,120.94178,161.74605,177.48807,181.83478,198.63402
-0.19,260.02325,12,1,5,0,100,-0.8515728,22.295013,55.084927,84.35173,106.40913,109.620674,92.838486,81.346565,77.61238,73.743256,71.19075,66.2219,60.14278,56.72914,58.414494,74.08214,85.12487,82.71621,72.69979,54.22202,26.638693,14.84491,0.34225518,-0.04982549,198.83563,176.45357,119.64621,70.07883,46.592445,23.609137,8.954964,8.533082,12.693651,9.281805,5.837207,13.186103,10.476099,6.4889007,6.1538525,14.582613,42.538143,79.04439,135.44554,191.0003,231.2093,234.12373,220.90419,208.67635
2.19,211.3115,13,1,5,0,100,16.57324,66.68738,90.88659,105.656364,114.69799,105.35348,87.750534,77.88764,74.2365,69.2276,66.22973,60.388477,60.920807,58.73974,77.43416,89.155075,85.31365,76.02576,60.33825,36.809708,15.159485,-2.594376,-2.56426,12.06674,160.89944,116.66232,66.94076,44.373714,19.577791,10.532283,7.9756656,8.972149,13.044774,13.375569,7.5593557,7.035222,8.133071,5.009893,12.535799,31.381104,80.964905,131.04378,191.11803,243.89615,253.0776,264.84424,268.2021,249.69572
49.15,102.0875,14,1,5,0,100,80.22987,100.53412,115.24534,118.638565,111.12627,104.69641,82.99894,71.113304,60.61229,60.539124,54.701466,54.406345,62.170013,71.8353,81.05253,90.12681,80.86364,68.2181,45.29854,24.896955,9.732749,8.925064,19.452972,33.25034,115.69416,78.70371,52.69386,29.279043,11.108857,9.004564,7.0612135,8.279958,11.914169,11.955752,7.4657984,8.711756,9.69692,13.830167,39.77575,67.82421,147.68202,192.03102,229.10527,252.17175,250.59796,243.66647,208.95404,177.61247
99.18,55.3175,15,1,5,0,100,121.063255,136.97081,145.87582,130.32701,108.44921,93.326904,98.14923,87.9063,68.51107,64.30533,70.47752,79.756454,89.66814,100.23119,111.10713,93.60732,83.88737,67.51139,47.1239,35.75947,35.843494,35.89455,50.765366,78.24318,54.642075,23.118692,17.455627,12.253075,10.403842,5.4768267,7.958147,8.578763,11.257014,15.345751,11.713626,6.981622,8.657632,39.098164,80.25178,125.09605,195.30768,227.32547,234.33617,230.1914,227.87505,228.32797,201.72174,194.76314
107.5,29.603,16,1,5,0,100,128.15465,131.79684,113.746376,106.78045,86.15215,79.35244,76.91316,76.57463,71.57024,69.48177,69.380646,72.432495,83.640915,93.61169,96.6318,85.76965,72.828255,57.31064,47.732555,42.74436,50.119648,60.3198,72.14577,87.507904,9.607767,-3.6543658,-5.2904706,-9.2166195,-5.4392486,6.3637915,14.055321,16.248852,14.435999,21.335342,19.260408,7.6818933,24.415426,70.26999,130.43492,181.31856,202.20515,210.47797,208.94586,208.58376,188.20592,191.43741,172.90411,128.58784
119.1,12.491,17,1,5,0,100,124.009674,111.216156,96.20746,87.168594,76.607124,68.542305,65.976906,61.7427,56.335316,57.360893,61.35074,75.18668,79.32831,72.21329,57.606018,41.13181,31.977343,22.734983,27.980677,41.614567,58.11604,71.929085,89.25483,100.23013,9.830077,-0.5983299,-1.9622892,-0.9680582,1.7659216,0.5075763,16.648918,14.171462,13.956489,33.670006,43.383476,30.026573,69.534134,120.17398,172.65016,197.88004,208.42519,197.0927,180.79387,166.99124,143.85452,105.03887,97.44818,78.802444
141.14,3.94225,18,1,5,0,100,131.7925,115.68446,108.03917,100.31944,87.37651,82.22234,72.242355,68.00993,63.55916,67.17382,85.5893,103.23121,93.63925,79.03335,72.7655,53.332676,43.427013,32.780617,38.97815,56.34744,76.51268,98.8118,124.521286,135.36026,3.4605718,3.4312384,7.4001346,1.279582,-0.48561418,-0.16368857,14.415221,7.847829,11.465945,32.65981,56.059795,90.059814,116.45327,170.58716,191.20622,205.04634,209.28476,186.92308,176.18193,143.51187,103.83324,50.148125,29.521484,26.946346
111.8,0.35225,19,1,5,0,100,103.43296,94.001595,87.076096,79.65688,75.48523,71.671165,70.94906,73.508606,83.819824,104.62125,106.20512,86.59406,67.48789,56.581818,41.706932,32.997368,32.060085,38.682724,54.012657,77.92304,104.2252,135.96677,138.60007,125.70679,-0.37336195,-0.8172824,12.0187,-0.3859147,-0.42934662,-1.5909697,7.8840446,11.988278,20.393322,43.945877,94.33914,132.76454,177.9476,206.8283,212.23431,211.29738,208.62022,196.58138,170.16528,137.39796,78.59056,25.817535,5.491919,2.5541005
100.59,0.0,20,1,5,0,100,92.054794,86.84323,82.14204,77.80149,69.77889,67.74237,73.26241,87.03428,98.683525,98.152985,83.30495,66.54793,50.859955,45.255913,37.519947,36.333866,42.238255,60.796925,81.824165,108.46357,137.79424,132.6391,119.33611,108.16725,-1.4149204,-1.344801,2.557316,1.1028504,2.6507316,4.3888216,14.782681,31.764145,51.04364,89.25149,134.1537,183.31554,214.47903,221.38321,225.12785,221.5035,205.62538,162.28493,111.083885,59.796856,22.217339,6.246742,4.101569,0.5858213
82.16,0.0,21,1,5,0,100,78.21918,71.11857,67.54268,64.757576,61.29769,63.693592,78.73095,95.31185,91.795616,79.090324,64.436775,46.397324,33.237736,30.166054,27.821896,32.105618,53.080246,75.82583,105.03398,125.46227,128.1211,118.7313,107.6082,90.85659,-1.4149204,-1.344801,2.557316,1.3809264,3.8084633,6.0547514,17.513985,41.904804,86.83135,130.21336,176.0466,206.30226,221.9659,222.56096,219.75417,208.16681,187.0627,144.52531,92.852554,45.758553,17.065586,5.532903,4.101569,0.5858213
70.28,0.0,22,1,5,0,100,66.039185,63.900608,59.73357,55.70632,60.06094,73.83174,81.44785,81.01772,69.7753,57.34218,44.542717,26.996819,21.94029,22.07015,25.956219,39.25691,65.86157,90.806305,110.5362,110.12318,102.63228,93.59256,83.22309,73.79373,-0.61727667,-0.8306708,0.7914165,1.2820294,5.142047,10.053257,40.626167,89.341545,141.23178,182.60301,215.04428,221.43253,227.99553,222.29419,207.67863,187.68674,155.89952,108.59767,60.00451,22.026888,8.997731,5.1709437,3.5427465,0.09210017
61.54,0.0,23,1,5,0,100,55.1094,53.543243,47.27547,46.820522,60.78118,75.50097,76.89269,76.514885,62.112823,46.36887,28.569935,22.047834,19.07124,25.971745,32.571095,58.078247,79.56344,105.37282,106.93763,102.14459,98.648834,90.2507,83.77418,73.51346,-0.7655175,-1.344801,2.557316,1.3809264,5.731836,29.333876,70.901375,136.56926,181.78671,206.1699,210.8366,216.69917,217.05617,194.15784,178.11816,160.85342,124.387596,69.68417,34.462658,13.726124,8.997731,5.482964,4.101569,0.654176
60.25,0.0,0,2,5,0,100,54.457054,54.287655,58.947334,79.306854,84.80469,78.30539,67.242134,49.357937,41.07645,27.02594,19.869387,19.578524,20.853403,40.28247,65.357185,88.700294,109.553276,110.77929,97.4806,87.591484,82.68906,74.39749,68.82646,69.39494,0.7980646,2.120973,5.683627,22.382734,53.650116,99.09989,147.5924,175.12521,198.9412,204.4092,212.04468,214.805,206.95863,181.2137,151.58473,100.71904,40.509605,13.116459,4.704395,2.2853916,1.9364711,2.0085156,1.3904548,1.7269768
53.54,0.0,1,2,5,0,100,52.322548,53.676098,71.642204,87.58075,83.58543,74.10582,61.08807,46.920307,32.813904,27.67932,18.32411,24.353737,36.0336,64.280014,95.74324,111.31519,112.61246,103.39057,92.82869,86.07718,82.67236,75.42031,70.987885,70.04098,0.34467706,1.7317123,9.229144,39.692883,89.36823,136.76334,170.03775,193.72987,202.46608,199.13269,203.14255,189.6431,175.76595,148.2132,101.88362,51.28006,14.624544,8.172281,4.608,2.2853916,1.9364711,2.3205361,1.9293928,2.289052
57.39,0.0,2,2,5,0,100,58.192604,76.3611,92.35923,95.519455,80.77459,62.20691,48.477398,35.416252,26.553501,24.855875,25.131987,40.620266,64.13613,88.5719,108.94745,112.9257,103.44435,93.412735,84.61697,81.7303,77.757454,73.98464,72.37174,72.47913,-0.34481528,7.1021304,23.666979,72.77781,125.20377,157.54004,186.12343,196.52466,201.79695,192.8091,188.20082,167.33176,142.05145,99.20464,53.166256,22.912146,10.102344,8.153644,4.608,2.2853916,1.9364711,2.5254393,1.9492791,2.2206976
65.21,0.523,3,2,5,0,100,81.47186,86.140076,86.63427,72.65501,56.80028,45.474735,36.577114,24.172026,27.921606,27.108147,40.99827,60.234932,79.64447,94.45525,109.474236,98.98373,86.94821,79.81311,74.0766,70.30562,69.10963,63.36507,67.926285,71.67495,17.504198,56.826416,110.12576,161.56563,179.82031,186.89491,200.7466,200.99554,187.55043,184.14427,168.97221,139.17442,94.23339,48.647907,20.830063,8.136317,4.399371,6.0008082,3.31438,2.8330274,2.5367682,3.3840358,1.3904548,2.8985746
85.97,13.16675,4,2,5,0,100,92.5341,83.12722,71.31156,68.08111,48.267254,31.157045,20.352468,18.983006,32.412308,45.74956,61.588768,82.068184,99.683754,111.79418,101.827324,98.242386,84.9212,77.8174,74.82385,69.30314,64.97452,61.243374,71.60118,83.569145,51.11918,97.60723,150.96208,180.03542,194.1728,197.82019,202.07909,196.1283,181.99048,166.41672,135.38892,94.10487,48.252266,12.850522,2.4860861,4.991538,5.2656803,7.295262,3.7858222,4.056332,3.603916,4.1710196,7.332062,30.23335
